MethodName,Energy(J),Invocations,TotalTime(ms)
"java.lang.invoke.MethodHandles$Lookup$ClassDefiner.defineClass(boolean, java.lang.Object)",0.013695015,0,0.000
"jdk.internal.reflect.DirectConstructorHandleAccessor.invokeImpl",0.116407630,0,0.000
"org.apache.maven.surefire.api.util.internal.DaemonThreadFactory.<clinit>()",0.006847508,0,0.000
"java.lang.invoke.Invokers.checkCustomized(java.lang.invoke.MethodHandle)",0.006847508,0,0.000
"java.lang.Class.getDeclaredConstructors0",0.020542523,0,0.000
"jdk.internal.loader.URLClassPath$JarLoader.createResource(java.lang.String, java.util.jar.JarEntry)",0.020542523,0,0.000
"java.io.BufferedInputStream.read(byte[], int, int)",0.003167636,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.flushEventChannelOnExit()",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectCodeBuilder$4.tryGenerateStackMaps(boolean, jdk.internal.classfile.impl.BufWriterImpl)",0.006847508,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.<init>(java.nio.channels.ReadableByteChannel, org.apache.maven.surefire.api.fork.ForkNodeArguments, java.util.Map)",0.006847508,0,0.000
"java.net.URL.lowerCaseProtocol(java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator$4.accept(java.lang.classfile.MethodBuilder)",0.006847508,0,0.000
"jdk.internal.loader.BuiltinClassLoader.getAndVerifyPackage(java.lang.String, java.util.jar.Manifest, java.net.URL)",0.006847508,0,0.000
"java.util.zip.ZipFile$ZipFileInputStream.initDataOffset()",0.143797661,0,0.000
"java.util.Collections.emptyList()",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectClassBuilder.withMethod",0.027390031,0,0.000
"java.lang.ClassLoader.loadClass(java.lang.String)",0.547880863,0,0.000
"java.lang.invoke.MethodHandles$Lookup.getDirectMethod(byte, java.lang.Class, java.lang.invoke.MemberName, java.lang.invoke.MethodHandles$Lookup)",0.013695015,0,0.000
"java.net.URLConnection.<init>(java.net.URL)",0.006847508,0,0.000
"jdk.internal.classfile.impl.AttributeHolder.withAttribute(java.lang.classfile.Attribute)",0.006847508,0,0.000
"java.io.FileInputStream.readBytes",0.001583818,0,0.000
"java.lang.invoke.MethodType.methodType(java.lang.Class, java.lang.Class[], boolean)",0.013695015,0,0.000
"org.apache.maven.surefire.api.util.internal.AbstractNoninterruptibleReadableChannel.read(java.nio.ByteBuffer)",0.001583818,0,0.000
"java.util.LinkedHashMap.newLinkedHashMap(int)",0.006847508,0,0.000
"java.util.regex.Pattern.expr(java.util.regex.Pattern$Node)",0.013695015,0,0.000
"java.lang.invoke.MethodTypeForm.canonicalize(java.lang.invoke.MethodType, int)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.spi.CommandChannelDecoder.<init>(java.nio.channels.ReadableByteChannel, org.apache.maven.surefire.api.fork.ForkNodeArguments)",0.027390031,0,0.000
"org.apache.maven.surefire.api.booter.MasterProcessCommand.segmentsToCmds()",0.006847508,0,0.000
"jdk.internal.reflect.MethodHandleAccessorFactory.newMethodAccessor(java.lang.reflect.Method, boolean)",0.006847508,0,0.000
"java.lang.StringLatin1.replace(byte[], char, char)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.runSuitesInProcess()",0.273900307,0,0.000
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",0.000262972,0,0.000
"org.apache.maven.surefire.junitplatform.JUnitPlatformProvider.invoke(java.lang.Object)",0.130102646,0,0.000
"jdk.internal.loader.Resource.getBytes()",0.246568936,0,0.000
"java.util.jar.JarFile.getInputStream(java.util.zip.ZipEntry)",0.020542523,0,0.000
"java.lang.invoke.Invokers.maybeCustomize(java.lang.invoke.MethodHandle)",0.006847508,0,0.000
"java.util.zip.ZipFile$ZipFileInflaterInputStream.<init>(java.util.zip.ZipFile, java.util.zip.ZipFile$ZipFileInputStream, java.util.zip.ZipFile$CleanableResource, int)",0.013695015,0,0.000
"java.io.BufferedInputStream.read1(byte[], int, int)",0.003167636,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.isDebugging()",0.006847508,0,0.000
"java.lang.StrictMath.floorOrCeil(double, double, double, double)",0.006847508,0,0.000
"java.security.CodeSource.<init>(java.net.URL, java.security.CodeSigner[])",0.006847508,0,0.000
"java.util.regex.Pattern.compile()",0.013695015,0,0.000
"org.apache.maven.surefire.api.booter.DumpErrorSingleton.init(java.io.File, java.lang.String)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.CommandReader.<init>",0.006847508,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.setupBooter(java.lang.String, java.lang.String, java.lang.String, java.lang.String)",0.404002952,0,0.000
"java.util.regex.Pattern.sequence(java.util.regex.Pattern$Node)",0.013695015,0,0.000
"java.lang.invoke.MethodHandleImpl.makePairwiseConvert(java.lang.invoke.MethodHandle, java.lang.invoke.MethodType, boolean)",0.006847508,0,0.000
"java.lang.invoke.DirectMethodHandle.<init>(java.lang.invoke.MethodType, java.lang.invoke.LambdaForm, java.lang.invoke.MemberName, boolean)",0.006847508,0,0.000
"java.util.jar.JarFile.getEntry(java.lang.String)",0.020542523,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.createForkingReporterFactory()",0.006847508,0,0.000
"org.apache.maven.surefire.booter.spi.LegacyMasterProcessChannelProcessorFactory.createEncoder(org.apache.maven.surefire.api.fork.ForkNodeArguments)",0.047932554,0,0.000
"java.lang.System$1.findBootstrapClassOrNull(java.lang.String)",0.027390031,0,0.000
"java.lang.Class.getMethod(java.lang.String, java.lang.Class[])",0.027390031,0,0.000
"java.lang.Class.getEnumConstantsShared()",0.013695015,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.generateConstructor(java.lang.classfile.ClassBuilder)",0.013695015,0,0.000
"jdk.internal.classfile.impl.StackMapGenerator.generate()",0.006847508,0,0.000
"java.util.jar.Manifest.getAttributes(java.lang.String)",0.006847508,0,0.000
"java.net.URLConnection.getDefaultUseCaches(java.lang.String)",0.006847508,0,0.000
"java.util.jar.Manifest$FastInputStream.<init>(java.io.InputStream, int)",0.006847508,0,0.000
"jdk.internal.misc.InnocuousThread.run()",0.000241382,0,0.000
"java.lang.Class.forName0",0.013695015,0,0.000
"java.lang.StringConcatHelper.newArray(int)",0.006847508,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.read(org.apache.maven.surefire.api.stream.AbstractStreamDecoder$Memento, int)",0.001613148,0,0.000
"org.apache.maven.surefire.booter.spi.CommandChannelDecoder.decode()",0.001671808,0,0.000
